Ex/EFF DATE,TYPE,CASH AMOUNT,DECLARATION DATE,RECORD DATE,PAYMENT DATE
02/28/2023,CASH,$1.52,02/02/23,03/01/23,03/15/2023
11/30/2022,CASH,$1.52,10/13/2022,12/01/22,12/15/2022
08/31/2022,CASH,$1.38,07/28/2022,09/01/22,09/16/2022
06/03/22,CASH,$1.38,05/26/2022,06/06/22,06/20/2022
02/28/2022,CASH,$1.38,01/20/2022,03/01/22,03/15/2022
11/30/2021,CASH,$1.38,09/23/2021,12/01/21,12/15/2021
08/31/2021,CASH,$1.29,07/22/2021,09/01/21,09/15/2021
05/28/2021,CASH,$1.29,05/20/2021,06/01/21,06/15/2021
02/26/2021,CASH,$1.29,01/21/2021,03/01/21,03/15/2021
11/30/2020,CASH,$1.29,10/08/20,12/01/20,12/15/2020
08/31/2020,CASH,$1.25,07/21/2020,09/01/20,09/15/2020
05/29/2020,CASH,$1.25,05/22/2020,06/01/20,06/15/2020
02/28/2020,CASH,$1.25,01/29/2020,03/02/20,03/16/2020
11/29/2019,CASH,$1.25,09/20/2019,12/02/19,12/16/2019
08/30/2019,CASH,$1.16,07/19/2019,09/03/19,09/17/2019
05/31/2019,CASH,$1.16,05/24/2019,06/03/19,06/17/2019
02/28/2019,CASH,$1.16,01/31/2019,03/01/19,03/15/2019
11/30/2018,CASH,$1.16,09/21/2018,12/03/18,12/17/2018
08/31/2018,CASH,$1.01,07/20/2018,09/04/18,09/18/2018
06/01/18,CASH,$1.01,05/24/2018,06/04/18,06/18/2018
02/28/2018,CASH,$1.01,01/25/2018,03/01/18,03/15/2018
11/30/2017,CASH,$1.01,09/21/2017,12/01/17,12/15/2017
08/30/2017,CASH,$0.94,07/27/2017,09/01/17,09/18/2017
06/01/17,CASH,$0.94,05/24/2017,06/05/17,06/19/2017
02/27/2017,CASH,$0.94,01/26/2017,03/01/17,03/15/2017
11/29/2016,CASH,$0.94,09/28/2016,12/01/16,12/15/2016
08/30/2016,CASH,$0.89,07/28/2016,09/01/16,09/16/2016
06/02/16,CASH,$0.89,05/26/2016,06/06/16,06/20/2016
02/26/2016,CASH,$0.89,01/27/2016,03/01/16,03/15/2016
11/27/2015,CASH,$0.89,11/10/15,12/01/15,12/15/2015
08/28/2015,CASH,$0.85,07/16/2015,09/01/15,09/16/2015
05/28/2015,CASH,$0.85,05/21/2015,06/01/15,06/15/2015
02/26/2015,CASH,$0.85,01/28/2015,03/02/15,03/16/2015
11/26/2014,CASH,$0.85,09/18/2014,12/01/14,12/15/2014
08/28/2014,CASH,$0.81,07/17/2014,09/02/14,09/16/2014
05/29/2014,CASH,$0.81,05/22/2014,06/02/14,06/16/2014
02/27/2014,CASH,$0.81,01/29/2014,03/03/14,03/17/2014
11/27/2013,CASH,$0.81,09/18/2013,12/02/13,12/16/2013
08/29/2013,CASH,$0.77,07/18/2013,09/03/13,09/17/2013
05/30/2013,CASH,$0.77,05/22/2013,06/03/13,06/17/2013
02/27/2013,CASH,$0.77,01/30/2013,03/01/13,03/15/2013
11/29/2012,CASH,$0.77,09/20/2012,12/03/12,12/17/2012
08/30/2012,CASH,$0.70,07/19/2012,09/04/12,09/18/2012
05/31/2012,CASH,$0.70,05/23/2012,06/04/12,06/15/2012
02/28/2012,CASH,$0.70,01/26/2012,03/01/12,03/15/2012
11/29/2011,CASH,$0.70,09/22/2011,12/01/11,12/15/2011
08/30/2011,CASH,$0.61,07/21/2011,09/01/11,09/16/2011
05/27/2011,CASH,$0.61,05/18/2011,06/01/11,06/15/2011
02/25/2011,CASH,$0.61,01/27/2011,03/01/11,03/15/2011
11/29/2010,CASH,$0.61,09/22/2010,12/01/10,12/15/2010
08/30/2010,CASH,$0.55,07/22/2010,09/01/10,09/16/2010
05/27/2010,CASH,$0.55,05/19/2010,06/01/10,06/15/2010
02/25/2010,CASH,$0.55,01/21/2010,03/01/10,03/15/2010
11/27/2009,CASH,$0.55,09/24/2009,12/01/09,12/15/2009
08/28/2009,CASH,$0.50,07/22/2009,09/01/09,09/15/2009
06/04/09,CASH,$0.50,05/26/2009,06/08/09,06/22/2009
02/26/2009,CASH,$0.50,01/22/2009,03/02/09,03/16/2009
11/26/2008,CASH,$0.50,09/25/2008,12/01/08,12/15/2008
08/28/2008,CASH,$0.38,07/17/2008,09/02/08,09/16/2008
06/05/08,CASH,$0.38,05/21/2008,06/09/08,06/23/2008
02/28/2008,CASH,$0.38,01/24/2008,03/03/08,03/17/2008
11/13/2007,CASH,$1.50,09/12/07,11/15/2007,12/03/07
11/13/2006,CASH,$1.00,09/27/2006,11/15/2006,12/01/06
11/10/05,CASH,$0.67,09/21/2005,11/15/2005,12/01/05
11/10/04,CASH,$0.55,09/14/2004,11/15/2004,12/01/04
11/12/03,CASH,$0.40,09/24/2003,11/14/2003,12/01/03
11/13/2002,CASH,$0.24,10/22/2002,11/15/2002,12/02/02
11/13/2001,CASH,$0.23,10/29/2001,11/15/2001,12/03/01
11/13/2000,CASH,$0.22,09/12/00,11/15/2000,12/01/00
11/29/1999,CASH,$0.05,11/17/1999,12/01/99,12/15/1999
08/30/1999,CASH,$0.05,07/13/1999,09/01/99,09/15/1999
05/27/1999,CASH,$0.05,05/20/1999,06/01/99,06/15/1999
03/11/99,CASH,$0.05,01/26/1999,03/15/1999,03/31/1999
11/25/1998,CASH,$0.09,10/28/1998,11/30/1998,12/11/98
08/27/1998,CASH,$0.09,07/08/98,08/31/1998,09/11/98
05/28/1998,CASH,$0.09,05/21/1998,06/01/98,06/12/98
02/25/1998,CASH,$0.08,01/20/1998,02/27/1998,03/13/1998
11/26/1997,CASH,$0.08,10/29/1997,12/01/97,12/12/97
08/27/1997,CASH,$0.08,07/15/1997,08/29/1997,09/12/97
05/29/1997,CASH,$0.08,05/22/1997,06/02/97,06/13/1997
02/26/1997,CASH,$0.08,01/21/1997,02/28/1997,03/14/1997
11/27/1996,CASH,$0.08,10/23/1996,12/02/96,12/13/1996
08/28/1996,CASH,$0.08,07/09/96,08/30/1996,09/13/1996
05/31/1996,CASH,$0.08,05/23/1996,06/04/96,06/14/1996
02/27/1996,CASH,$0.07,01/16/1996,02/29/1996,03/15/1996
11/28/1995,CASH,$0.07,11/14/1995,11/30/1995,12/15/1995
08/29/1995,CASH,$0.07,07/11/95,08/31/1995,09/15/1995
05/30/1995,CASH,$0.07,05/26/1995,06/05/95,06/16/1995
02/22/1995,CASH,$0.06,01/19/1995,02/28/1995,03/17/1995
11/23/1994,CASH,$0.06,11/15/1994,11/30/1994,12/16/1994
08/25/1994,CASH,$0.06,07/12/94,08/31/1994,09/16/1994
06/01/94,CASH,$0.12,05/27/1994,06/07/94,06/17/1994
02/22/1994,CASH,$0.11,01/18/1994,02/28/1994,03/18/1994
11/23/1993,CASH,$0.11,10/19/1993,11/30/1993,12/17/1993
08/25/1993,CASH,$0.11,08/17/1993,08/31/1993,09/17/1993
06/01/93,CASH,$0.11,05/28/1993,06/07/93,06/18/1993
02/23/1993,CASH,$0.10,02/03/93,03/01/93,03/19/1993
11/23/1992,CASH,$0.10,10/13/1992,11/30/1992,12/18/1992
08/25/1992,CASH,$0.10,08/20/1992,08/31/1992,09/18/1992
05/27/1992,CASH,$0.10,05/22/1992,06/02/92,06/19/1992
02/25/1992,CASH,$0.09,02/20/1992,03/02/92,03/20/1992
11/27/1991,CASH,$0.09,10/23/1991,12/04/91,12/18/1991
08/28/1991,CASH,$0.09,08/21/1991,09/04/91,09/18/1991
05/29/1991,CASH,$0.09,05/24/1991,06/04/91,06/18/1991
03/05/91,CASH,$0.09,02/28/1991,03/11/91,03/21/1991
11/26/1990,CASH,$0.09,10/11/90,11/30/1990,12/18/1990
08/27/1990,CASH,$0.09,08/09/90,08/31/1990,09/18/1990
05/30/1990,CASH,$0.09,05/25/1990,06/05/90,06/18/1990
02/27/1990,CASH,$0.08,02/22/1990,03/05/90,03/19/1990
11/24/1989,CASH,$0.08,10/12/89,11/30/1989,12/18/1989
08/25/1989,CASH,$0.08,08/15/1989,08/31/1989,09/18/1989
05/24/1989,CASH,$0.16,05/19/1989,05/31/1989,06/19/1989
02/22/1989,CASH,$0.14,02/17/1989,02/28/1989,03/20/1989
12/21/1988,CASH,$0.02,12/15/1988,12/28/1988,01/17/1989
11/23/1988,CASH,$0.14,10/31/1988,11/30/1988,12/15/1988
08/22/1988,CASH,$0.14,08/09/88,08/26/1988,09/09/88
05/24/1988,CASH,$0.14,05/20/1988,05/31/1988,06/09/88
01/19/1988,CASH,$0.13,01/18/1988,01/25/1988,02/05/88
10/20/1987,CASH,$0.13,10/08/87,10/26/1987,11/06/87